Step;Input;Output;r0;r1;r2;r3
615;coin(200);Reject(200);coffee;200;10;100
616;coin(200);Reject(200);coffee;200;10;100
617;coin(200);Reject(200);coffee;200;10;100
618;vend;omega;coffee;200;10;100
619;coin(100);Reject(100);coffee;100;10;100
620;coin(200);Reject(200);coffee;200;10;100
621;coin(100);Reject(100);coffee;100;10;100
622;coin(50);Display(60);coffee;50;60;100
623;coin(100);Reject(100);coffee;100;60;100
624;coin(10);Display(70);coffee;10;70;100
625;vend;omega;coffee;10;70;100
626;coin(100);Reject(100);coffee;100;70;100
627;coin(50);Reject(50);coffee;50;70;100
628;vend;omega;coffee;50;70;100
629;coin(50);Reject(50);coffee;50;70;100
630;coin(50);Reject(50);coffee;50;70;100
631;coin(10);Display(80);coffee;10;80;100
632;coin(50);Reject(50);coffee;50;80;100
633;coin(50);Reject(50);coffee;50;80;100
634;coin(100);Reject(100);coffee;100;80;100
635;coin(200);Reject(200);coffee;200;80;100
636;coin(200);Reject(200);coffee;200;80;100
637;coin(200);Reject(200);coffee;200;80;100
638;coin(100);Reject(100);coffee;100;80;100
639;coin(100);Reject(100);coffee;100;80;100
640;vend;omega;coffee;100;80;100
641;coin(10);Display(90);coffee;10;90;100
642;coin(10);Display(100);coffee;10;100;100
643;coin(200);Reject(200);coffee;200;100;100
644;coin(200);Reject(200);coffee;200;100;100
645;coin(200);Reject(200);coffee;200;100;100
646;coin(100);Reject(100);coffee;100;100;100
647;coin(50);Reject(50);coffee;50;100;100
648;coin(100);Reject(100);coffee;100;100;100
649;coin(100);Reject(100);coffee;100;100;100
650;vend;Serv(coffee,0,0);coffee;100;0;0
651;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
652;coin(200);Reject(200);coffee;200;0;100
653;coin(50);Display(50);coffee;50;50;100
654;coin(50);Display(100);coffee;50;100;100
655;vend;Serv(coffee,0,0);coffee;50;0;0
656;select(coffee);Beverage(coffee,0,100);coffee;50;0;100
657;vend;omega;coffee;50;0;100
658;coin(100);Display(100);coffee;100;100;100
659;coin(10);Reject(10);coffee;10;100;100
660;coin(10);Reject(10);coffee;10;100;100
661;coin(10);Reject(10);coffee;10;100;100
662;coin(10);Reject(10);coffee;10;100;100
663;vend;Serv(coffee,0,0);coffee;10;0;0
664;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
665;coin(200);Reject(200);coffee;200;0;100
666;vend;omega;coffee;200;0;100
667;coin(100);Display(100);coffee;100;100;100
668;coin(200);Reject(200);coffee;200;100;100
669;vend;Serv(coffee,0,0);coffee;200;0;0
670;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
671;coin(50);Display(50);coffee;50;50;100
672;coin(10);Display(60);coffee;10;60;100
673;vend;omega;coffee;10;60;100
674;coin(10);Display(70);coffee;10;70;100
675;coin(200);Reject(200);coffee;200;70;100
676;coin(50);Reject(50);coffee;50;70;100
677;vend;omega;coffee;50;70;100
678;coin(50);Reject(50);coffee;50;70;100
679;coin(200);Reject(200);coffee;200;70;100
680;coin(200);Reject(200);coffee;200;70;100
681;vend;omega;coffee;200;70;100
682;coin(50);Reject(50);coffee;50;70;100
683;vend;omega;coffee;50;70;100
684;vend;omega;coffee;50;70;100
685;vend;omega;coffee;50;70;100
686;coin(100);Reject(100);coffee;100;70;100
687;coin(10);Display(80);coffee;10;80;100
688;coin(50);Reject(50);coffee;50;80;100
689;coin(200);Reject(200);coffee;200;80;100
690;coin(100);Reject(100);coffee;100;80;100
691;coin(200);Reject(200);coffee;200;80;100
692;coin(200);Reject(200);coffee;200;80;100
693;vend;omega;coffee;200;80;100
694;coin(100);Reject(100);coffee;100;80;100
695;coin(100);Reject(100);coffee;100;80;100
696;coin(100);Reject(100);coffee;100;80;100
697;coin(100);Reject(100);coffee;100;80;100
698;vend;omega;coffee;100;80;100
699;coin(200);Reject(200);coffee;200;80;100
700;coin(50);Reject(50);coffee;50;80;100
701;vend;omega;coffee;50;80;100
702;vend;omega;coffee;50;80;100
703;vend;omega;coffee;50;80;100
704;coin(100);Reject(100);coffee;100;80;100
705;vend;omega;coffee;100;80;100
706;coin(100);Reject(100);coffee;100;80;100
707;coin(100);Reject(100);coffee;100;80;100
708;coin(100);Reject(100);coffee;100;80;100
709;coin(10);Display(90);coffee;10;90;100
710;vend;omega;coffee;10;90;100
711;coin(200);Reject(200);coffee;200;90;100
712;vend;omega;coffee;200;90;100
713;vend;omega;coffee;200;90;100
714;coin(50);Reject(50);coffee;50;90;100
715;coin(100);Reject(100);coffee;100;90;100
716;coin(50);Reject(50);coffee;50;90;100
717;coin(100);Reject(100);coffee;100;90;100
718;coin(50);Reject(50);coffee;50;90;100
719;coin(100);Reject(100);coffee;100;90;100
720;coin(200);Reject(200);coffee;200;90;100
721;coin(200);Reject(200);coffee;200;90;100
722;coin(200);Reject(200);coffee;200;90;100
723;coin(100);Reject(100);coffee;100;90;100
724;vend;omega;coffee;100;90;100
725;coin(10);Display(100);coffee;10;100;100
726;vend;Serv(coffee,0,0);coffee;10;0;0
727;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
